"trial","ref_position","var_area","response","correct","rt"
1,"L",12.1319649391808,"L",FALSE,6.55400013923645
2,"L",10.9696031124331,"R",TRUE,38.720999956131
3,"L",13.8750231468584,"R",TRUE,1.60199999809265
4,"R",11.1557426298968,"L",TRUE,1.50200009346008
5,"L",12.6111892873887,"R",TRUE,1.39499998092651
6,"R",14.2735424202401,"L",TRUE,1.50800013542175
7,"L",11.8531472666655,"R",TRUE,3.4210000038147
8,"R",14.0734848100692,"L",TRUE,1.4850001335144
9,"L",13.996189259924,"R",TRUE,1.29800009727478
10,"L",12.6259349379689,"R",TRUE,2.10599994659424
11,"R",13.4988512934651,"L",TRUE,1.09800004959106
12,"L",11.9060681406409,"R",TRUE,1.59499979019165
13,"R",9.08326291618869,"L",TRUE,2.80200004577637
14,"L",14.5243955040351,"R",TRUE,1.39999985694885
15,"R",8.23246364877559,"R",TRUE,1.18799996376038
16,"R",10.1749153204728,"L",TRUE,1.29200005531311
17,"R",14.636907978449,"L",TRUE,1.20499992370605
18,"L",11.287317590788,"R",TRUE,1.49699997901917
19,"L",13.748500255635,"R",TRUE,1.39900016784668
20,"L",14.6698267746251,"R",TRUE,1.30200004577637
21,"R",11.6982804995496,"L",TRUE,1.19899988174438
22,"R",13.6789418309927,"L",TRUE,1.19799995422363
23,"L",9.8564402484335,"R",TRUE,1.5
24,"L",11.4811059972271,"R",TRUE,1.20499992370605
25,"R",8.27949797338806,"R",TRUE,3.82200002670288
26,"L",8.88477931078523,"L",TRUE,4.72699999809265
27,"R",13.5686643114313,"L",TRUE,1.19899988174438